position,instance_id,repo,difficulty,version,resolved,score,resolution_status,num_turns,action_count,main_turn,traj_num,session_time_s,env_init_time_s,main_len,total_token,summary_count,finish_accepted,stop_reason,f2p_success_count,f2p_failure_count,f2p_total,p2p_success_count,p2p_failure_count,p2p_total,generation_requests,generation_responses,prompt_tokens_mean,prompt_tokens_max,prompt_tokens_sum,response_chars_sum,summary_due_events,summary_created_events,event_span_s
108,django__django-13109,django/django,<15 min fix,3.2,True,1.0,RESOLVED_FULL,34,16,34,1,385.06444549560547,23,10373,16990,0,1,finish_accepted,2,0,2,170,0,170,16,16,11366.75,16375,181868,25961,0,0,428.65566849708557
109,sphinx-doc__sphinx-8621,sphinx-doc/sphinx,<15 min fix,3.5,False,0.0,RESOLVED_NO,34,16,34,1,443.22369146347046,230,18414,25141,0,1,finish_accepted,2,0,2,30,1,31,16,16,18398.6875,24655,294379,26910,0,0,692.958624124527
110,django__django-11734,django/django,15 min - 1 hour,3.0,False,0.0,RESOLVED_NO,38,18,38,1,227.6997356414795,22,22214,28630,0,0,no_finish,0,1,1,275,0,275,18,18,15724.555555555555,28549,283042,13193,0,0,270.9518196582794
111,django__django-11265,django/django,15 min - 1 hour,3.0,False,0.0,RESOLVED_NO,27,16,12,2,340.3455789089203,23,3127,32081,1,1,finish_accepted,0,1,1,30,0,30,17,17,15322.235294117647,27543,260478,22088,1,1,382.1291403770447
112,sphinx-doc__sphinx-11445,sphinx-doc/sphinx,15 min - 1 hour,7.1,False,0.0,RESOLVED_NO,34,16,34,1,410.2927896976471,207,12274,18996,0,1,finish_accepted,2,0,2,6,2,8,16,16,12346.0,18679,197536,25419,0,0,638.5362613201141
113,django__django-11066,django/django,<15 min fix,3.0,True,1.0,RESOLVED_FULL,36,17,36,1,230.83292603492737,23,11630,18239,0,1,finish_accepted,1,0,1,3,0,3,17,17,12354.117647058823,18051,210020,14458,0,0,273.0486898422241
114,sympy__sympy-17139,sympy/sympy,<15 min fix,1.5,False,0.0,RESOLVED_NO,34,16,34,1,180.45865082740784,187,5565,12416,0,1,finish_accepted,0,2,2,67,0,67,16,16,10137.1875,12415,162195,10469,0,0,486.3262848854065
115,django__django-13568,django/django,15 min - 1 hour,3.2,False,0.0,RESOLVED_NO,34,16,34,1,369.2137644290924,24,14160,20500,0,1,finish_accepted,1,0,1,12,1,13,16,16,13830.0625,20206,221281,24976,0,0,412.9234116077423
116,sympy__sympy-14248,sympy/sympy,1-4 hours,1.1,False,0.0,RESOLVED_NO,35,16,35,1,212.78551483154297,182,25589,31946,0,0,no_finish,0,2,2,433,0,433,16,16,12938.3125,30129,207013,12485,0,0,419.6565845012665
117,pydata__xarray-7233,pydata/xarray,15 min - 1 hour,2022.09,False,0.0,RESOLVED_NO,34,16,34,1,342.98418712615967,1,3953,10737,0,1,finish_accepted,0,1,1,189,0,189,16,16,9287.6875,10738,148603,9633,0,0,384.8446538448334
118,django__django-11532,django/django,15 min - 1 hour,3.0,False,0.0,RESOLVED_NO,38,18,38,1,283.36942291259766,22,10228,17156,0,0,no_finish,0,1,1,130,18,148,18,18,12487.888888888889,17127,224782,17093,0,0,334.2805516719818
119,django__django-12858,django/django,15 min - 1 hour,3.1,False,0.0,RESOLVED_NO,25,16,14,2,329.06021332740784,23,4152,34766,1,1,finish_accepted,0,1,1,73,0,73,17,17,12398.235294117647,22030,210770,20490,1,1,371.71177983283997
120,django__django-13658,django/django,15 min - 1 hour,3.2,False,0.0,RESOLVED_NO,33,15,33,1,349.8858811855316,33,28261,34737,0,0,no_finish,1,0,1,179,2,181,15,15,19603.733333333334,26852,294056,21525,0,0,549.8719911575317
121,sympy__sympy-22456,sympy/sympy,15 min - 1 hour,1.10,False,0.0,RESOLVED_NO,27,16,12,2,291.58229422569275,178,5161,34253,1,1,finish_accepted,0,1,1,29,0,29,17,17,14023.941176470587,27874,238407,17914,1,1,485.0130157470703
122,astropy__astropy-14309,astropy/astropy,<15 min fix,5.1,False,0.0,RESOLVED_NO,25,16,14,2,357.15689516067505,6,1606,31148,1,1,finish_accepted,0,1,1,141,0,141,17,17,13929.058823529413,27987,236794,19122,1,1,382.53025484085083
123,django__django-16661,django/django,15 min - 1 hour,5.0,False,0.0,RESOLVED_NO,29,16,10,2,343.9335057735443,24,1309,36430,1,1,finish_accepted,0,1,1,36,0,36,17,17,16259.117647058823,26766,276405,22314,1,1,388.9648895263672
124,django__django-15467,django/django,<15 min fix,4.1,True,1.0,RESOLVED_FULL,38,18,38,1,285.69705080986023,23,6384,12751,0,0,no_finish,1,0,1,62,0,62,18,18,9848.222222222223,12574,177268,18122,0,0,329.0647711753845
125,sympy__sympy-18211,sympy/sympy,15 min - 1 hour,1.6,False,0.0,RESOLVED_NO,31,16,8,2,313.61302065849304,198,1427,30201,1,1,finish_accepted,0,1,1,54,0,54,17,17,14229.64705882353,27174,241904,16884,1,1,534.1907541751862
126,django__django-16429,django/django,<15 min fix,4.2,False,0.0,RESOLVED_NO,34,16,34,1,347.2159810066223,25,21343,27813,0,1,finish_accepted,0,4,4,16,5,21,16,16,21133.25,27286,338132,20743,0,0,391.5849118232727
127,django__django-11149,django/django,15 min - 1 hour,3.0,False,0.0,RESOLVED_NO,34,16,34,1,383.85533452033997,22,21643,27995,0,1,finish_accepted,0,2,2,46,0,46,16,16,17131.625,27243,274106,26131,0,0,427.0452585220337
128,django__django-14007,django/django,1-4 hours,4.0,False,0.0,RESOLVED_NO,34,16,34,1,210.99863386154175,24,21928,28390,0,1,finish_accepted,0,1,1,12,0,12,16,16,15375.125,28056,246002,13423,0,0,254.13357043266296
129,psf__requests-6028,psf/requests,15 min - 1 hour,2.27,False,0.0,RESOLVED_NO,31,18,12,2,292.3362286090851,0,3261,33106,1,0,no_finish,0,2,2,184,1,185,19,19,15048.894736842105,27204,285929,17954,1,1,300.2932171821594
130,django__django-11087,django/django,15 min - 1 hour,3.0,False,0.0,RESOLVED_NO,19,16,20,2,295.34439492225647,22,8917,39078,1,1,finish_accepted,0,1,1,41,0,41,17,17,15277.529411764706,24434,259718,20546,1,1,336.8263051509857
131,astropy__astropy-13453,astropy/astropy,15 min - 1 hour,5.0,False,0.0,RESOLVED_NO,34,16,34,1,238.98291516304016,6,20537,29129,0,1,finish_accepted,0,1,1,9,0,9,16,16,23256.5625,28870,372105,12211,0,0,260.31789350509644
132,pytest-dev__pytest-5262,pytest-dev/pytest,<15 min fix,4.5,True,1.0,RESOLVED_FULL,34,16,34,1,391.81883454322815,1,15609,23063,0,1,finish_accepted,1,0,1,108,0,108,16,16,16388.75,22454,262220,25040,0,0,422.02854895591736
133,pytest-dev__pytest-8399,pytest-dev/pytest,15 min - 1 hour,6.3,False,0.0,RESOLVED_NO,34,16,34,1,211.74155592918396,1,6978,13396,0,1,finish_accepted,0,1,1,59,0,59,16,16,10347.625,12930,165562,13320,0,0,227.20197939872742
134,matplotlib__matplotlib-25122,matplotlib/matplotlib,<15 min fix,3.6,True,1.0,RESOLVED_FULL,27,16,12,2,344.89332699775696,17,10534,39345,1,1,finish_accepted,12,0,12,2476,0,2476,17,17,14535.764705882353,18994,247108,19924,1,1,399.5990252494812
135,sphinx-doc__sphinx-9591,sphinx-doc/sphinx,<15 min fix,4.2,False,0.0,RESOLVED_NO,34,16,34,1,189.61071062088013,229,21399,28078,0,1,finish_accepted,0,1,1,44,0,44,16,16,12787.5,27749,204600,12431,0,0,439.9924666881561
136,django__django-15554,django/django,15 min - 1 hour,4.1,False,0.0,RESOLVED_NO,29,16,10,2,230.188214302063,24,6980,37963,1,1,finish_accepted,0,1,1,41,0,41,17,17,12955.588235294117,22929,220245,15397,1,1,274.55543398857117
137,sympy__sympy-13551,sympy/sympy,15 min - 1 hour,1.1,False,0.0,RESOLVED_NO,34,16,34,1,160.54444909095764,184,12041,18408,0,1,finish_accepted,0,1,1,17,0,17,16,16,13748.1875,18409,219971,8564,0,0,370.2138228416443
138,pylint-dev__pylint-6528,pylint-dev/pylint,15 min - 1 hour,2.14,False,0.0,RESOLVED_NO,34,16,34,1,169.84276676177979,7,4303,11061,0,1,finish_accepted,0,4,4,171,0,171,16,16,9037.75,10814,144604,9225,0,0,230.573344707489
139,django__django-12304,django/django,<15 min fix,3.1,False,0.0,RESOLVED_NO,38,18,38,1,305.5067892074585,23,11971,18262,0,0,no_finish,0,1,1,0,17,17,18,18,12366.833333333334,18163,222603,19305,0,0,346.52803802490234
140,django__django-11276,django/django,15 min - 1 hour,3.0,True,1.0,RESOLVED_FULL,34,16,34,1,342.42397260665894,22,22080,28513,0,1,finish_accepted,26,0,26,548,0,548,16,16,16881.3125,28225,270101,20047,0,0,393.1486051082611
141,sympy__sympy-24213,sympy/sympy,15 min - 1 hour,1.12,False,0.0,RESOLVED_NO,19,16,20,2,231.74517273902893,188,3239,34496,1,1,finish_accepted,0,1,1,31,0,31,17,17,11049.235294117647,23573,187837,14681,1,1,440.13452196121216
142,sympy__sympy-21596,sympy/sympy,15 min - 1 hour,1.9,False,0.0,RESOLVED_NO,34,16,34,1,191.0484869480133,521,6739,13164,0,1,finish_accepted,0,1,1,46,0,46,16,16,10196.8125,12596,163149,11487,0,0,737.4072806835175
143,psf__requests-1766,psf/requests,<15 min fix,2.0,False,0.0,RESOLVED_NO,34,16,34,1,310.7337472438812,1,11865,18233,0,1,finish_accepted,6,0,6,77,2,79,16,16,13536.4375,17953,216583,18630,0,0,619.9399387836456
144,django__django-14539,django/django,<15 min fix,4.0,False,0.0,RESOLVED_NO,17,16,22,2,292.64427280426025,24,3061,32211,1,1,finish_accepted,0,2,2,14,0,14,17,17,11152.764705882353,27584,189597,17579,1,1,335.8583083152771
145,sympy__sympy-19040,sympy/sympy,15 min - 1 hour,1.6,False,0.0,RESOLVED_NO,34,16,34,1,161.4575171470642,172,14426,20992,0,1,finish_accepted,0,1,1,148,0,148,16,16,11613.8125,20730,185821,9547,0,0,360.6192560195923
146,scikit-learn__scikit-learn-13439,scikit-learn/scikit-learn,<15 min fix,0.21,False,0.0,RESOLVED_NO,38,18,38,1,286.67286944389343,457,15075,21666,0,0,no_finish,0,1,1,40,0,40,18,18,15028.222222222223,21633,270508,16074,0,0,820.0734391212463
147,django__django-15572,django/django,<15 min fix,4.1,False,0.0,RESOLVED_NO,23,16,16,2,363.28199100494385,24,3228,33383,1,1,finish_accepted,0,1,1,10,0,10,17,17,11168.70588235294,21462,189868,24035,1,1,407.07830333709717
148,django__django-11477,django/django,15 min - 1 hour,3.0,False,0.0,RESOLVED_NO,21,18,22,2,543.2101230621338,23,14916,43688,1,0,no_finish,0,3,3,151,0,151,19,19,14438.315789473685,25218,274328,20534,1,1,587.1764726638794
149,sphinx-doc__sphinx-8721,sphinx-doc/sphinx,<15 min fix,3.5,False,0.0,RESOLVED_NO,38,18,38,1,430.11125349998474,185,16957,23272,0,0,no_finish,0,1,1,3,0,3,18,18,15607.222222222223,22916,280930,25985,0,0,635.0870769023895
150,pylint-dev__pylint-6903,pylint-dev/pylint,<15 min fix,2.15,True,1.0,RESOLVED_FULL,38,18,38,1,612.8337023258209,9,18057,25205,0,0,no_finish,1,0,1,8,0,8,18,18,16864.944444444445,24211,303569,35288,0,0,645.7989902496338
151,psf__requests-1142,psf/requests,<15 min fix,1.1,False,0.0,RESOLVED_NO,34,16,34,1,192.22260570526123,1,17392,23629,0,1,finish_accepted,0,1,1,5,0,5,16,16,17064.0,23628,273024,11776,0,0,199.95709943771362
152,sphinx-doc__sphinx-9602,sphinx-doc/sphinx,15 min - 1 hour,4.2,False,0.0,RESOLVED_NO,31,18,12,2,611.6059114933014,533,9498,38328,1,0,no_finish,0,1,1,45,0,45,19,19,13930.421052631578,28048,264678,19689,1,1,1220.1161329746246
153,django__django-13449,django/django,1-4 hours,3.2,False,0.0,RESOLVED_NO,19,16,20,2,1203.392419576645,77,18028,46576,1,1,finish_accepted,0,1,1,46,0,46,17,17,14227.470588235294,25633,241867,64751,1,1,1299.357075214386
154,sympy__sympy-15345,sympy/sympy,<15 min fix,1.4,False,0.0,RESOLVED_NO,34,16,34,1,499.1487786769867,173,20341,26575,0,1,finish_accepted,0,1,1,8,0,8,16,16,16645.6875,26221,266331,29988,0,0,689.4336354732513
155,django__django-14089,django/django,<15 min fix,4.0,True,1.0,RESOLVED_FULL,27,18,16,2,344.9963164329529,23,12456,41243,1,0,no_finish,1,0,1,43,0,43,19,19,19740.894736842107,27682,375077,20429,1,1,387.691609621048
156,django__django-16950,django/django,15 min - 1 hour,5.0,False,0.0,RESOLVED_NO,19,16,20,2,260.52054500579834,24,2657,32280,1,1,finish_accepted,0,1,1,3,0,3,17,17,11205.0,27950,190485,17138,1,1,304.8182876110077
157,sphinx-doc__sphinx-7889,sphinx-doc/sphinx,<15 min fix,3.2,False,0.0,RESOLVED_NO,38,18,38,1,300.41964077949524,183,12947,19461,0,0,no_finish,0,1,1,5,0,5,18,18,13471.666666666666,19283,242490,18551,0,0,499.64355754852295
158,django__django-15563,django/django,15 min - 1 hour,4.1,False,0.0,RESOLVED_NO,38,18,38,1,366.65248584747314,24,21507,28191,0,0,no_finish,0,2,2,29,0,29,18,18,15824.611111111111,27198,284843,23549,0,0,410.1022744178772
159,astropy__astropy-14096,astropy/astropy,15 min - 1 hour,5.1,False,0.0,RESOLVED_NO,34,16,34,1,288.9031822681427,6,15254,21674,0,1,finish_accepted,0,1,1,426,0,426,16,16,15709.875,21633,251358,17181,0,0,315.8570132255554
160,django__django-13569,django/django,15 min - 1 hour,3.2,False,0.0,RESOLVED_NO,34,16,34,1,365.6814703941345,23,21927,28636,0,1,finish_accepted,0,1,1,66,0,66,16,16,18725.375,28276,299606,23502,0,0,408.4447636604309
161,django__django-14534,django/django,<15 min fix,4.0,False,0.0,RESOLVED_PARTIAL,34,16,34,1,318.46915102005005,32,20286,26841,0,1,finish_accepted,1,1,2,118,0,118,16,16,18949.1875,26535,303187,18982,0,0,381.00666666030884
162,django__django-15098,django/django,15 min - 1 hour,4.1,False,0.0,RESOLVED_NO,34,16,34,1,331.82623410224915,24,16884,23885,0,1,finish_accepted,0,2,2,88,0,88,16,16,16844.0625,23650,269505,20277,0,0,377.2408905029297
163,django__django-16819,django/django,15 min - 1 hour,5.0,False,0.0,RESOLVED_NO,21,16,18,2,272.34491443634033,24,18629,47123,1,1,finish_accepted,0,1,1,38,0,38,17,17,17186.58823529412,26587,292172,12585,1,1,316.2929046154022
164,matplotlib__matplotlib-20826,matplotlib/matplotlib,15 min - 1 hour,3.4,False,0.0,RESOLVED_NO,38,18,38,1,195.7258002758026,17,14537,21447,0,0,no_finish,0,1,1,661,12,673,18,18,12197.166666666666,21399,219549,11678,0,0,340.363805770874
165,scikit-learn__scikit-learn-10908,scikit-learn/scikit-learn,15 min - 1 hour,0.20,False,0.0,RESOLVED_NO,38,18,38,1,236.20543813705444,4,15805,22504,0,0,no_finish,0,1,1,47,0,47,18,18,15217.666666666666,22424,273918,15600,0,0,258.36096954345703
166,sympy__sympy-13647,sympy/sympy,15 min - 1 hour,1.1,False,0.0,RESOLVED_NO,34,16,34,1,296.55563735961914,226,13506,20271,0,1,finish_accepted,0,1,1,76,0,76,16,16,13904.875,19497,222478,17241,0,0,545.8251872062683
167,sympy__sympy-23413,sympy/sympy,15 min - 1 hour,1.11,False,0.0,RESOLVED_NO,34,16,34,1,506.7606506347656,178,20186,26472,0,1,finish_accepted,0,1,1,2,0,2,16,16,17327.4375,26044,277239,29145,0,0,699.6894218921661
168,pytest-dev__pytest-7571,pytest-dev/pytest,15 min - 1 hour,6.0,False,0.0,RESOLVED_NO,34,16,34,1,252.97948026657104,1,19358,25642,0,1,finish_accepted,0,1,1,14,0,14,16,16,17349.75,25339,277596,15577,0,0,261.4223999977112
169,django__django-14311,django/django,15 min - 1 hour,4.0,False,0.0,RESOLVED_NO,25,18,18,2,507.71908593177795,23,19905,49874,1,0,no_finish,1,0,1,56,3,59,19,19,18661.157894736843,27986,354562,31007,1,1,552.7836010456085
170,django__django-15368,django/django,<15 min fix,4.1,True,1.0,RESOLVED_FULL,34,16,34,1,243.77685856819153,23,7819,14343,0,1,finish_accepted,1,0,1,29,0,29,16,16,11307.25,14320,180916,14860,0,0,287.32483744621277
171,sympy__sympy-19495,sympy/sympy,<15 min fix,1.7,False,0.0,RESOLVED_NO,19,16,20,2,359.02562069892883,177,3554,33929,1,1,finish_accepted,0,1,1,8,0,8,17,17,11786.29411764706,25376,200367,13280,1,1,551.8354902267456
172,scikit-learn__scikit-learn-14053,scikit-learn/scikit-learn,15 min - 1 hour,0.22,False,0.0,RESOLVED_NO,34,16,34,1,394.19839334487915,4,19227,26278,0,1,finish_accepted,0,1,1,5,0,5,16,16,18592.875,26064,297486,25308,0,0,415.16477727890015
173,matplotlib__matplotlib-24637,matplotlib/matplotlib,15 min - 1 hour,3.6,False,0.0,RESOLVED_NO,34,16,34,1,299.9347975254059,17,17152,23921,0,1,finish_accepted,0,1,1,29,0,29,16,16,15658.375,23604,250534,12459,0,0,344.01634526252747
174,sympy__sympy-13798,sympy/sympy,15 min - 1 hour,1.1,False,0.0,RESOLVED_NO,34,16,34,1,163.92495799064636,382,5107,11496,0,1,finish_accepted,0,1,1,102,0,102,16,16,8711.75,10978,139388,9995,0,0,562.4856429100037
175,django__django-14053,django/django,15 min - 1 hour,4.0,True,1.0,RESOLVED_FULL,11,16,28,2,477.03086137771606,23,18792,48963,1,1,finish_accepted,1,0,1,31,0,31,17,17,15751.941176470587,25461,267783,31979,1,1,529.2642233371735
176,django__django-15957,django/django,1-4 hours,4.2,False,0.0,RESOLVED_NO,38,18,38,1,293.6669762134552,24,22864,29219,0,0,no_finish,0,4,4,89,0,89,18,18,18510.11111111111,29194,333182,17471,0,0,337.60569310188293
177,django__django-13279,django/django,15 min - 1 hour,3.2,False,0.0,RESOLVED_NO,27,16,12,2,515.4038681983948,23,3425,33957,1,1,finish_accepted,0,9,9,344,2,346,17,17,14383.529411764706,28073,244520,33283,1,1,558.4291217327118
178,django__django-15278,django/django,15 min - 1 hour,4.1,False,0.0,RESOLVED_NO,23,16,16,2,391.238970041275,24,10731,40524,1,1,finish_accepted,0,1,1,138,0,138,17,17,16695.70588235294,27558,283827,26147,1,1,435.6353271007538
179,sphinx-doc__sphinx-8265,sphinx-doc/sphinx,15 min - 1 hour,3.3,False,0.0,RESOLVED_NO,19,16,20,2,313.9332489967346,213,12293,40818,1,1,finish_accepted,0,1,1,22,0,22,17,17,15382.176470588236,26329,261497,19669,1,1,543.016286611557
180,sympy__sympy-22914,sympy/sympy,15 min - 1 hour,1.10,True,1.0,RESOLVED_FULL,15,18,28,2,261.5751371383667,292,18920,50374,1,0,no_finish,1,0,1,17,0,17,19,19,13798.105263157895,25219,262164,15040,1,1,568.7345571517944
181,sphinx-doc__sphinx-11510,sphinx-doc/sphinx,1-4 hours,7.2,False,0.0,RESOLVED_NO,15,16,24,2,283.30776166915894,5,13108,41698,1,1,finish_accepted,0,2,2,7,0,7,17,17,16377.529411764706,25531,278418,18104,1,1,300.7493715286255
182,sympy__sympy-18698,sympy/sympy,15 min - 1 hour,1.6,False,0.0,RESOLVED_NO,34,16,34,1,313.5015845298767,610,18190,24562,0,1,finish_accepted,0,1,1,147,0,147,16,16,15447.5,24123,247160,15671,0,0,951.8416283130646
183,sphinx-doc__sphinx-9367,sphinx-doc/sphinx,<15 min fix,4.1,True,1.0,RESOLVED_FULL,34,16,34,1,338.7876965999603,745,12791,19111,0,1,finish_accepted,1,0,1,25,0,25,16,16,12890.375,18546,206246,18983,0,0,1100.0972990989685
184,django__django-16082,django/django,15 min - 1 hour,4.2,True,1.0,RESOLVED_FULL,38,18,38,1,285.60018396377563,25,20827,27043,0,0,no_finish,2,0,2,170,0,170,18,18,16401.88888888889,26345,295234,18922,0,0,331.12044739723206
185,pydata__xarray-3677,pydata/xarray,15 min - 1 hour,0.12,False,0.0,RESOLVED_NO,34,16,34,1,237.07643222808838,1,8395,15008,0,1,finish_accepted,0,1,1,21,0,21,16,16,9912.375,14862,158598,11879,0,0,261.76343607902527
186,django__django-16662,django/django,15 min - 1 hour,5.0,False,0.0,RESOLVED_NO,34,16,34,1,230.06994152069092,25,17564,23870,0,1,finish_accepted,0,1,1,51,0,51,16,16,13479.4375,23297,215671,13495,0,0,270.3376657962799
187,django__django-13089,django/django,<15 min fix,3.2,False,0.0,RESOLVED_NO,38,18,38,1,270.5674068927765,23,21945,28548,0,0,no_finish,0,2,2,352,0,352,18,18,17782.11111111111,28506,320078,14480,0,0,386.8028678894043
188,sympy__sympy-12481,sympy/sympy,<15 min fix,1.0,False,0.0,RESOLVED_NO,38,18,38,1,156.682297706604,1231,12705,18957,0,0,no_finish,0,1,1,7,0,7,18,18,14500.111111111111,18900,261002,9116,0,0,1404.719159603119
189,matplotlib__matplotlib-26291,matplotlib/matplotlib,15 min - 1 hour,3.7,False,0.0,RESOLVED_NO,34,16,34,1,289.16648173332214,17,15111,22468,0,1,finish_accepted,0,1,1,49,0,49,16,16,17422.9375,22227,278767,16694,0,0,338.244197845459
190,astropy__astropy-7166,astropy/astropy,<15 min fix,1.3,True,1.0,RESOLVED_FULL,34,16,34,1,380.9712791442871,8,15322,21512,0,1,finish_accepted,1,0,1,6,0,6,16,16,15356.125,21026,245698,26292,0,0,403.78400349617004
191,pydata__xarray-6938,pydata/xarray,15 min - 1 hour,2022.06,False,0.0,RESOLVED_NO,34,16,34,1,235.55562472343445,1,18062,25251,0,1,finish_accepted,0,1,1,430,0,430,16,16,15359.6875,24917,245755,14031,0,0,273.3637442588806
192,sympy__sympy-19637,sympy/sympy,<15 min fix,1.7,True,1.0,RESOLVED_FULL,34,16,34,1,234.6311240196228,901,13161,19374,0,1,finish_accepted,1,0,1,40,0,40,16,16,13363.75,19138,213820,13859,0,0,1152.1161732673645
193,django__django-15863,django/django,<15 min fix,4.2,False,0.0,RESOLVED_NO,27,16,12,2,327.1470513343811,25,2409,33305,1,1,finish_accepted,0,1,1,9,0,9,17,17,12721.764705882353,21202,216270,15183,1,1,375.5608022212982
194,django__django-15380,django/django,<15 min fix,4.1,True,1.0,RESOLVED_FULL,23,16,16,2,436.09569025039673,25,11948,41949,1,1,finish_accepted,1,0,1,133,0,133,17,17,14659.176470588236,27783,249206,26521,1,1,480.8152406215668
195,django__django-15127,django/django,<15 min fix,4.1,False,0.0,RESOLVED_NO,34,16,34,1,207.86126446723938,24,14395,20604,0,1,finish_accepted,0,1,1,1,0,1,16,16,11404.1875,20022,182467,13177,0,0,252.4661738872528
196,django__django-15022,django/django,15 min - 1 hour,4.1,False,0.0,RESOLVED_NO,25,16,14,2,475.29007863998413,24,4818,34869,1,1,finish_accepted,0,3,3,56,0,56,17,17,14494.117647058823,27981,246400,28378,1,1,520.4301898479462
197,sphinx-doc__sphinx-8056,sphinx-doc/sphinx,15 min - 1 hour,3.2,False,0.0,RESOLVED_NO,13,15,24,2,1252.6219561100006,5,22638,54061,1,1,finish_accepted,0,1,1,40,0,40,16,16,16681.375,28887,266902,78588,2,1,1269.0651667118073
198,django__django-16560,django/django,1-4 hours,5.0,False,0.0,RESOLVED_NO,11,16,28,2,254.98695850372314,25,16336,45368,1,1,finish_accepted,0,8,8,66,0,66,17,17,14764.70588235294,22435,251000,16163,1,1,300.5712594985962
199,django__django-13406,django/django,<15 min fix,3.2,False,0.0,RESOLVED_NO,38,18,38,1,350.16700863838196,24,16268,23295,0,0,no_finish,0,3,3,32,0,32,18,18,12656.444444444445,22624,227816,19952,0,0,393.9804701805115
200,django__django-14155,django/django,15 min - 1 hour,4.0,False,0.0,RESOLVED_NO,11,12,20,2,239.50346684455872,34,25465,58227,1,1,finish_accepted,0,3,3,89,0,89,13,13,20149.384615384617,31377,261942,13389,2,1,305.94145131111145
